FID,STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,SHAPE_Length,SHAPE_Area
55,42,003,475402,1400000US42003475402,42003475402,4754.02,CT,3867968,0,0.0966491009703171,0.000410204113000204
56,42,003,482500,1400000US42003482500,42003482500,4825,CT,2387778,236626,0.114246153231987,0.000282064617500193
57,42,003,488100,1400000US42003488100,42003488100,4881,CT,1696487,0,0.0633593046121741,0.000180694860499957
58,42,003,501000,1400000US42003501000,42003501000,5010,CT,1258267,131999,0.0546590767263017,0.000145933691000164
59,42,003,512000,1400000US42003512000,42003512000,5120,CT,1279394,0,0.056108106589875,0.000136740732499811
60,42,003,516200,1400000US42003516200,42003516200,5162,CT,808017,0,0.0434330275789534,8.70980574999653e-05
61,42,003,521100,1400000US42003521100,42003521100,5211,CT,4694541,0,0.1019169203856,0.00049812431949992
62,42,003,523300,1400000US42003523300,42003523300,5233,CT,3567627,0,0.0940812378709628,0.000378934635499696
63,42,003,524000,1400000US42003524000,42003524000,5240,CT,1307953,235469,0.0637503377804269,0.000163852828500261
64,42,003,526302,1400000US42003526302,42003526302,5263.02,CT,3994239,0,0.0965413470257697,0.000424108497500758
65,42,003,552300,1400000US42003552300,42003552300,5523,CT,830980,0,0.0478153286682073,8.62865775000373e-05
66,42,003,561100,1400000US42003561100,42003561100,5611,CT,414535,0,0.0365045151889697,4.371595449989e-05
67,42,003,562700,1400000US42003562700,42003562700,5627,CT,910660,5234,0.045654386295521,9.57427374995489e-05
68,42,003,980400,1400000US42003980400,42003980400,9804,CT,1106930,0,0.0618500382748118,0.000118058389000145
69,42,003,981200,1400000US42003981200,42003981200,9812,CT,460275,156913,0.037879872867544,6.65627140000537e-05
70,42,003,010300,1400000US42003010300,42003010300,103,CT,866087,235982,0.0552352717127855,0.000117036700999949
71,42,003,030500,1400000US42003030500,42003030500,305,CT,668309,0,0.0469558579276867,7.19278309999774e-05
72,42,003,050600,1400000US42003050600,42003050600,506,CT,805419,6849,0.036499470339605,8.45722560001328e-05
73,42,003,141100,1400000US42003141100,42003141100,1411,CT,1226334,163168,0.0653679082798008,0.0001466314265003
74,42,003,271500,1400000US42003271500,42003271500,2715,CT,1393801,0,0.0769280809165258,0.000147076541999674
75,42,003,420000,1400000US42003420000,42003420000,4200,CT,767989,373437,0.0463380942108702,0.000122137484000173
76,42,003,425000,1400000US42003425000,42003425000,4250,CT,1891707,165716,0.0881439598051407,0.000220374627499874
77,42,003,470501,1400000US42003470501,42003470501,4705.01,CT,1128819,0,0.0493526167213684,0.000118639741000225
78,42,003,475304,1400000US42003475304,42003475304,4753.04,CT,4272024,0,0.122615998885118,0.000455837770999997
79,42,003,515300,1400000US42003515300,42003515300,5153,CT,867224,109167,0.0436646805678206,0.0001019944864998
80,42,003,552400,1400000US42003552400,42003552400,5524,CT,2044622,200574,0.0951165610455448,0.000240679070500071
81,42,003,981100,1400000US42003981100,42003981100,9811,CT,875989,0,0.0435227049632429,9.31616820001112e-05
82,42,003,472100,1400000US42003472100,42003472100,4721,CT,549881,0,0.0378839108446702,5.71872044997218e-05
83,42,003,515200,1400000US42003515200,42003515200,5152,CT,546485,0,0.0338093252849825,5.99016819999031e-05
84,42,003,080200,1400000US42003080200,42003080200,802,CT,344564,0,0.0247483389445173,3.58211370000495e-05
85,42,003,523501,1400000US42003523501,42003523501,5235.01,CT,4585072,0,0.0934109432325255,0.000487443651000422
86,42,003,552000,1400000US42003552000,42003552000,5520,CT,639467,0,0.0383983696319551,6.58575320000467e-05
87,42,003,432400,1400000US42003432400,42003432400,4324,CT,710868,191084,0.041486700783802,9.6994442999932e-05
88,42,003,468700,1400000US42003468700,42003468700,4687,CT,1408602,0,0.0550937068328925,0.000146137950000164
89,42,003,472400,1400000US42003472400,42003472400,4724,CT,425317,0,0.027550850999499,4.50291034998677e-05
90,42,003,486900,1400000US42003486900,42003486900,4869,CT,934904,40752,0.0487932188780395,0.000100450123500082
